id_annonce,type_surface,disponibilite,ville,quartier,departement,region,typologie,residence,surface_m2,salles_de_bain,balcons,dpe,prix_eur,prix_m2_eur
V02721,Surface Carrez,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T3,Carre du Lac,55.3,2.0,0.0,D,642000.0,11609.0
V14279,Surface Carrez,fevr-2028,Massy,Vilmorin,91,Ile-de-France,T2,Carre des Lilas,36.8,1.0,0.0,B,159000.0,4321.0
V08296,Surface Carrez,Libre immediatement,Montreuil,Bel-Air,93,Ile-de-France,T5,Le Domaine Saint-Martin,175.5,1.0,0.0,C,580000.0,3305.0
V02123,Surface Carrez,Libre immediatement,Paris,Gobelins,75,Ile-de-France,T2,,58.5,1.0,,E,511000.0,8735.0
V12344,Surface Carrez,Libre immediatement,Meaux,Colbert,77,Ile-de-France,T2,Residence du Parc,42.5,1.0,1.0,C,97000.0,2282.0
V02156,Surface Carrez,Libre immediatement,Versailles,Saint-Louis,78,Ile-de-France,T4,Cour Riviera,106.1,3.0,2.0,D,729000.0,6871.0
V08098,Surface utile,avr-2027,Creteil,Centre Ancien,94,Ile-de-France,Maison 5 pieces,Residence Beausejour,111.8,4.0,0.0,A,536000.0,4794.0
V00537,Surface habitable,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T3,Les Allees Latitude,51.7,2.0,2.0,C,587000.0,11354.0
V03925,Surface habitable,Libre immediatement,Paris,Belleville,75,Ile-de-France,T3,,61.9,2.0,2.0,C,569000.0,9192.0
V01196,Surface habitable,janv-2027,Paris,Bercy,75,Ile-de-France,T1,Villa Concorde,19.9,1.0,1.0,B,160000.0,8040.0
V14091,Surface Carrez,Libre immediatement,Montreuil,Bel-Air,93,Ile-de-France,T3,Les Terrasses des Lilas,83.3,1.0,0.0,E,328000.0,3938.0
V04688,Surface Carrez,Libre immediatement,Vitry-sur-Seine,Moulin-Vert,94,Ile-de-France,T4,Le Parc Belvedere,72.3,1.0,2.0,E,252000.0,3485.0
V05798,Surface Carrez,Libre immediatement,Paris,Batignolles,75,Ile-de-France,T3,Les Jardins d'Argent,77.1,2.0,0.0,D,804000.0,10428.0
V07039,Surface Carrez,juin-2028,Montrouge,Ferry-Jaures,92,Ile-de-France,T3,Esprit du Lac,58.5,2.0,0.0,B,579000.0,9897.0
V09429,Surface habitable,Libre immediatement,Paris,La Muette,75,Ile-de-France,T2,,41.5,1.0,1.0,G,358000.0,8627.0
V12353,Surface Carrez,dec-2028,Trappes,Plaine de Neauphle,78,Ile-de-France,T3,Les Terrasses Riviera,61.1,2.0,2.0,A,227000.0,3715.0
V11519,Surface Carrez,Libre immediatement,Vitry-sur-Seine,Port-a-l'Anglais,94,Ile-de-France,T2,Carre Saint-Martin,40.9,1.0,0.0,C,180000.0,4401.0
V00543,Surface habitable,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T3,Cour Montaigne,67.2,2.0,0.0,G,690000.0,10268.0
V00953,Surface Carrez,juin-2027,Versailles,Porchefontaine,78,Ile-de-France,T2,Les Allees Verte,52,1.0,0.0,A,365000.0,7019.0
V00332,Surface Carrez,Libre immediatement,Nanterre,Universite,92,Ile-de-France,T2,,44.8,1.0,1.0,F,150000.0,3348.0
V05343,Surface Carrez,Libre immediatement,Antony,Pajeaud,92,Ile-de-France,T4,Les Jardins Latitude,116,3.0,1.0,C,600000.0,5172.0
V13191,Surface Carrez,janv-2026,Creteil,Lac,94,Ile-de-France,T2,Le Domaine Latitude,38.3,1.0,1.0,A,214000.0,5587.0
V13602,Surface Carrez,fevr-2026,Vitry-sur-Seine,Centre-Ville,94,Ile-de-France,T1,Le Clos Symphonie,26.8,1.0,,B,122000.0,4552.0
V07770,Surface utile,Libre immediatement,Paris,Montmartre,75,Ile-de-France,T5,,129.4,2.0,2.0,B,1037000.0,8014.0
V10903,Surface Carrez,Libre immediatement,Boulogne-Billancourt,Point du Jour,92,Ile-de-France,T2,Le Clos Verte,45.9,1.0,2.0,D,313000.0,6819.0
V14780,Surface Carrez,Libre immediatement,Montreuil,Bel-Air,93,Ile-de-France,T4,Carre Latitude,59.6,2.0,1.0,D,249000.0,4178.0
V05312,Surface habitable,Libre immediatement,Cergy,Cergy-Saint-Christophe,95,Ile-de-France,T2,Les Jardins des Chenes,40.1,1.0,0.0,D,91000.0,2269.0
V10482,Surface Carrez,Libre immediatement,Levallois-Perret,Eiffel,92,Ile-de-France,T3,Les Jardins d'Argent,75.2,2.0,0.0,D,599000.0,7965.0
V01825,Surface utile,Libre immediatement,Paris,Le Marais,75,Ile-de-France,T2,Les Jardins Verte,42.3,1.0,0.0,E,518000.0,12246.0
V02711,Surface habitable,Libre immediatement,Saint-Denis,Basilique,93,Ile-de-France,Maison 4 pieces,,96.1,2.0,2.0,D,185000.0,1925.0
